DownloadTimeStamp,UTC_TimeStamp,Local_TimeStamp,Unix_Time,Metric,Temperature,Precipitation_inches,Relative_Humidity,Cloud_Cover,WindSpeed10mAbove_mph,SurfacePressure_millibars, WindDirection_degrees
1589033353,05/08/2020 6:00 PM,05/08/2020 2:00 PM,1588960800,false,41.90,0.00,42.6,31,14.40,984.7,341.5
1589033353,05/08/2020 7:00 PM,05/08/2020 3:00 PM,1588964400,false,41.20,0.00,46.5,19,17.00,984.8,334.5
1589033353,05/08/2020 8:00 PM,05/08/2020 4:00 PM,1588968000,false,41.20,0.00,40.8,10,15.00,985.2,336.2
1589033353,05/08/2020 9:00 PM,05/08/2020 5:00 PM,1588971600,false,40.70,0.00,46.2,10,13.50,985.5,12.4
1589033353,05/08/2020 10:00 PM,05/08/2020 6:00 PM,1588975200,false,37.90,0.01,62.8,15,14.10,986.3,355.1
1589033353,05/08/2020 11:00 PM,05/08/2020 7:00 PM,1588978800,false,38.60,0.00,49.1,8,12.10,986.4,24.1
1589033353,05/09/2020 12:00 AM,05/08/2020 8:00 PM,1588982400,false,37.50,0.00,50.1,1,7.20,987,17.9
1589033353,05/09/2020 1:00 AM,05/08/2020 9:00 PM,1588986000,false,36.90,0.00,48.3,10,8.20,988,7.2
1589033353,05/09/2020 2:00 AM,05/08/2020 10:00 PM,1588989600,false,34.80,0.00,49.2,4,7.40,989,348.7
1589033353,05/09/2020 3:00 AM,05/08/2020 11:00 PM,1588993200,false,32.90,0.00,53.1,0,5.80,989.8,311.5
1589033353,05/09/2020 4:00 AM,05/09/2020 12:00 AM,1588996800,false,31.80,0.00,51.6,0,6.80,989.9,324.3
1589033353,05/09/2020 5:00 AM,05/09/2020 1:00 AM,1589000400,false,30.90,0.00,50.6,0,6.10,990.1,331.9
1589033353,05/09/2020 6:00 AM,05/09/2020 2:00 AM,1589004000,false,29.90,0.00,49.7,0,6.90,990.1,318
1589033353,05/09/2020 7:00 AM,05/09/2020 3:00 AM,1589007600,false,28.70,0.00,51.8,0,6.20,989.9,303.6
1589033353,05/09/2020 8:00 AM,05/09/2020 4:00 AM,1589011200,false,28.80,0.00,51,0,7.50,989.8,300.3
1589033353,05/09/2020 9:00 AM,05/09/2020 5:00 AM,1589014800,false,29.50,0.00,51.9,0,8.20,989.8,297.4
1589033353,05/09/2020 10:00 AM,05/09/2020 6:00 AM,1589018400,false,29.70,0.00,55,0,9.40,990.2,301
1589033353,05/09/2020 11:00 AM,05/09/2020 7:00 AM,1589022000,false,30.10,0.00,56.2,0,9.40,990.5,288.7
1589033353,05/09/2020 12:00 PM,05/09/2020 8:00 AM,1589025600,false,30.60,0.00,56.6,0,10.90,991.3,293.8
1589033353,05/09/2020 1:00 PM,05/09/2020 9:00 AM,1589029200,false,33.10,0.00,52.3,0,12.40,990.3,300.2
